cate1,Q,A,paragraph
가압류 신청,가압류 신청 및 사건은 어디에서 관할하나요?,가압류할 물건이 있는 곳을 관할하는 지방법원이나 본안의 관할법원,"가압류 사건은 가압류할 물건이 있는 곳을 관할하는 지방법원이나 본안의 관할법원에 신청해야 합니다. 가압류를 신청하려는 자는 해당 사건의 본안이 제1심 법원에 계속 중이면 제1심 법원에, 항소심에 계속 중이면 항소법원에 가압류 신청을 해야 합니다. 가압류 사건은 ① 가압류할 물건이 있는 곳을 관할하는 지방법원이나 ② 본안의 관할법원의 전속관할입니다. 가압류 소송의 관할은 전속관할이므로 합의관할나 변론관할에 관한 규정이 적용되지 않습니다. 법령용어해설 전속관할 법정관할 가운데 특히 공익적 요구 때문에 특정 법원만이 재판을 할 수 있도록 인정된 관할을 말합니다. 전속관할로 규정된 사항은 법원의 결정이나 당사자의 의사에 의하여 변경할 수 없습니다. 합의관할 당사자의 합의에 의하여 정해지는 관할을 말합니다. 관할의 합의는 원칙적으로 제소 전에 할 것이고 제소 후에는 관할의 이송의 문제가 있을 뿐입니다. 변론관할 어떤 사건이 그 법원의 관할에 속하지 않음에도 불구하고 원고의 제소에 대하여 피고가 이의없이 본안 변론함으로써 생기는 관할을 말합니다. 피고가 제1심 법원에서 관할위반이라고 항변하지 않고 본안에 대하여 변론을 하거나 변론준비기일에서 진술을 하거나 할 경우 변론관할이 생기게 됩니다. 관할권 없는 법원에 대한 신청 관할권 없음을 간과하고 가압류 명령을 하였을 때에는 상소 또는 이의가 제기되면 취소사유가 됩니다. 그러나 관할권 없는 법원이 발한 가압류 명령도 상소나 이의에 의하여 취소되지 않는 한 유효하며, 재심사유가 아니므로 확정되면 관할 위반의 흠이 치유됩니다. 관할권 없는 법원에 가압류 신청이 있으면 관할법원으로 이송하는 것이 원칙입니다. 그러나 전속관할에 위반된 이송결정도 기속력이 있으므로 관할권 없는 법원으로 잘못 이송하였더라도 이송받은 법원은 이송결정에 기속됩니다. "
가정에너지 절약,가정에너지 절약'에서 고효율에너지기자재인증제도는 어떤 제도인가요?,에너지사용기자재 중 에너지효율 및 품질시험 검사 결과가 일정기준 이상 만족하는 제품을 고효율에너지기자재로 인증하는 제도,"고효율에너지기자재인증제도는 에너지사용기자재 중 에너지효율 및 품질시험 검사 결과가 일정기준 이상 만족하는 제품을 고효율에너지기자재로 인증하는 제도입니다. 고효율에너지기자재 인증을 받은 조명설비, 전력설비, 냉난방설비 등을 사용하면 에너지이용의 효율성을 높일 수 있습니다. 위의 고효율에너지인증대상기자재의 적용범위에 대한 자세한 내용은 고효율에너지기자재 보급촉진에 관한 규정 별표 1에서 확인할 수 있습니다. 이를 위반하여 고효율에너지기자재의 인증을 받지 않은 자가 고효율에너지기자재의 인증 표시를 한 경우에는 500만원 이하의 벌금에 처해집니다. 고효율에너지기자재에는 다음과 같은 고효율 인증 마크를 표시할 수 있습니다. 다만, LED 램프 및 등기구는 다음의 표시를 추가하여 인증표시를 해야 합니다. 고효율에너지기자재의 인증표시 방법에 대한 자세한 내용은 고효율에너지기자재 보급촉진에 관한 규정 별표 4에서 확인할 수 있으며, LED 조명 성능표시방법에 대한 자세한 내용은 고효율에너지기자재 보급촉진에 관한 규정 별표 5에서 확인할 수 있습니다."
가정에너지 절약,가정에너지 절약을 위한 제도 중 탄소포인트제의 참여 대상은 누구인가요?,"가정의 세대주 및 아파트 단지의 관리사무소, 학교의 학교장, 일반건물의 실사용자","자동차 탄소포인트제는 자동차 주행거리 감축량 또는 감축률에 따라 포인트를 부여하고 이에 상응하는 인센티브를 제공하는 프로그램을 말합니다. 탄소포인트제 참여 대상은 가정의 세대주 및 아파트 단지의 관리사무소, 학교의 학교장, 일반건물의 실사용자입니다. 참여자의 거주시설에는 전기 등의 사용량을 확인할 수 있도록 고유번호가 있는 계량기가 부착되어 있어야 하며, 그렇지 않은 경우에는 다른 객관적인 방법으로 참여자의 전기 등 사용량 확인이 가능해야 합니다. 참여 희망자는 다음과 같은 운영프로그램에 접속하여 온라인으로 직접 등록하거나 탄소포인트제 참여 신청서를 작성한 후 우편, 팩스 및 전자우편 등으로 해당 지방자치단체의 담당 부서에서 신청할 수 있습니다. 참여자는 전기, 상수도, 도시가스 및 지역난방 등 개별 항목별로 반기별 1회 온실가스 감축률에 따라 다음에 해당하는 탄소포인트를 받을 수 있습니다. 부여된 탄소포인트에 상응하여 다음과 같은 다양한 인센티브가 지급됩니다. 다만, 인센티브를 그린카드 포인트로 제공하는 경우에는 그린카드 운영사를 경유해 연 2회 지급됩니다. 그린카드 및 에코마일리지카드의 발급에 관한 자세한 사항은 에코머니 홈페이지에서 확인할 수 있습니다. 승용차마일리지 이용하기 승용차마일리지는 시민이 자율적으로 자동차 운행거리를 줄여 온실가스와 미세먼지 감축에 기여하면 감축정도에 따라 인센티브를 주는 시민참여 프로그램을 말합니다[서울특별시 에너지절약 마일리지 지원에 관한 조례 제2조제2호]. 승용차마일리지를 이용하는 자동차가 25만대인 경우 온실가스 9,929ton 이상, 연간 주행거리 5,688만km가 감축됩니다[서울시 승용차마일리지 홈페이지의 마일리지제 소개-기대효과 참조]. 승용차마일리지제의 참여 및 혜택 등에 대한 자세한 내용은 서울시 승용차마일리지 홈페이지에서 확인할 수 있습니다."
가정폭력 피해자,가정폭력 때문에 이혼한 전남편이 지금도 계속 찾아와 폭력을 행사합니다. 이혼해서 현재 남남인 전남편도 가정폭력으로 처벌할 수 있나요?,가족관계는 현재의 가족관계뿐만 아니라 과거의 가족관계까지 포함합니다. 따라서 전남편도 가정폭력범죄로 처벌할 수 있습니다.,"가정폭력이란 가정구성원 사이의 신체적, 정신적, 재산상 피해를 수반하는 행위를 말합니다. 가정폭력범죄에는 상해, 폭행, 유기, 학대, 아동혹사, 체포, 감금, 협박, 명예훼손, 모욕, 주거ㆍ신체수색, 강요, 공갈, 재물손괴 및 아동구걸 강요 등이 있습니다. 가정폭력 당사자로서의 가정구성원이란 다음 중 어느 하나에 해당하는 사람을 말합니다. 배우자(사실상 혼인관계에 있는 사람포함) 또는 배우자였던 사람, 자기 또는 배우자와 직계존비속관계(사실상의 양친자 관계 포함)에 있거나 있었던 사람, 계부모와 자녀의 관계 또는 적모와 서자의 관계에 있거나 있었던 사람, 동거하는 친족. 가정폭력 행위자란 가정폭력범죄를 범한 사람 및 가정구성원인 공범을 말합니다. 가정폭력 피해자란 가정폭력범죄로 인해 직접적으로 피해를 입은 사람을 말합니다. 가정폭력은 다른 형사법규 위반보다 폭력에 대한 법적 죄의식이 낮습니다. 가정폭력은 가출, 가정파탄 및 폭력성의 세습 등을 가져오는 근절되어야 할 것으로서 우리 법에서 금지하고 있는 범죄입니다. 가정폭력범죄는 가정폭력으로서 다음 어느 하나에 해당하는 죄를 말합니다. 물리적인 힘이나 도구를 이용하여 신체를 직접적으로 때리는 것 외에 물건을 집어던지거나 어깨나 목 등을 꽉 움켜잡는 것도 신체적인 폭력에 해당합니다. 폭언, 무시, 모욕과 같은 언어폭력으로 기분을 상하게 하는 것도 가정폭력에 해당합니다. 직접적으로 때리지는 않았으나, 때리려고 위협을 하거나 물건을 던지거나 부수는 것은 가정폭력에 해당 합니다. 통제적으로 상대방을 고립시키고 의심하는 행위를 하는 것 역시 가정폭력에 해당합니다. 생활비를 주지 않는 것은 가정폭력에 해당합니다. 동의 없이 임의로 재산을 처분하거나 생활비 지출을 일일이 보고하게 하는 것 역시 가정폭력에 해당할 수 있습니다. 성적수치심을 유발하는 행위나 원치 않는 성관계를 요구하는 것은 가정폭력에 해당합니다. 무관심과 냉담으로 대한다거나 위험상황에 방치하는 것은 가정폭력에 해당합니다."
가정폭력 피해자,가정폭력상담소에서 하는 일이 궁금합니다.,"가정폭력 관련 상담 외에도 가해자 교정치료, 가정폭력 예방교육 등의 프로그램을 운영","피해자와 그 가족은 가정폭력 전문 상담기관을 통해 가정폭력 전반에 관한 내용을 상담 받을 수 있습니다. 가정폭력 상담소에서는 가정폭력 관련 상담 외에도 가해자 교정치료, 가정폭력 예방교육 등의 프로그램을 운영하고 있습니다. 가정폭력 피해자와 그 가족은 가정폭력방지 및 피해자보호 등에 관한 법률에 따라 설치된 가정폭력 관련 상담소를 통해 가정폭력과 관련된 다음의 사항들에 대해 상담 받을 수 있습니다. 가정폭력 상담소는 여성가족부에서 위탁·운영하는 여성긴급전화를 비롯해 경찰청 및 각종 단체 등에서 운영하고 있습니다. 한국어에 서툰 결혼이민자의 경우에는 다누리콜센터를 통하여 여러 나라의 언어로 상담을 받거나, 통역 등의 서비스를 받을 수 있습니다. 가정폭력 상담소에서 근무하는 사람은 그 직무상 알게 된 비밀을 누설하지 말아야 할 의무가 있으므로, 상담내용은 법에 따라 비밀이 유지됩니다. 가정폭력 상담소에서 근무하는 사람이 그 직무상 알게 된 비밀을 누설한 경우에는 1년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다. 가정폭력 상담은 일반 피해자뿐만이 아니라 가정폭력 행위자 및 그 배우자와 자녀, 부부갈등이나 알코올문제 등으로 고민하시는 분 모두 도움을 받을 수 있습니다. 국가기관, 지방자치단체 및 다음의 기관 또는 단체는 가정폭력의 예방과 방지를 위해 해당 기관·단체에 소속된 사람 및 학생 등을 대상으로 매년 1회 이상, 1시간 이상의 가정폭력 예방교육을 실시해야 합니다. "
가족관계 등록,어떤 경우에 가족관계등록부가 폐쇄되기도 하는 건가요?,본인이 사망하는 등의 사유가 발생하면 폐쇄,본인이 사망하거나 국적을 상실하는 등의 이유가 발생하면 가족관계등록부의 가족관계등록부사항란 및 일반등록사항란에 그 취지와 사유를 기록한 후 폐쇄합니다. 가족관계등록부는 다음에 해당하는 사유가 발생하면 폐쇄됩니다. 시·읍·면의 장이 등록부를 폐쇄하는 경우에는 가족관계등록부사항란 및 일반등록사항란에 그 취지와 사유를 기록합니다. 폐쇄된 가족관계등록부에 대한 등록사항별 증명서를 발급하는 경우에는 증명서의 우측상단에 폐쇄라고 표시됩니다.
가족관계 등록,가족관계등록 창설신고란 무엇인가요?,대한민국의 국민으로 가족관계등록부가 없는 사람이 처음으로 가족관계등록부를 갖고자 법원의 허가를 받은 경우 이 사실을 시·읍·면의 장에게 신고하는 것,"“가족관계등록 창설신고”란 대한민국의 국민으로 가족관계등록부가 없는 사람이 처음으로 가족관계등록부를 갖고자 법원의 허가를 받은 경우 이 사실을 시·읍·면의 장에게 신고하는 것을 말합니다. 가정법원에 가족관계등록창설허가신청을 할 수 있는 사람은 대한민국 국민으로서 가족관계등록부에 기록되지 않은 사람입니다. “가족관계등록 창설신고”란 대한민국의 국민으로 가족관계등록부가 없는 사람이 처음으로 가족관계등록부를 갖고자 법원의 허가를 받은 경우 이 사실을 시·읍·면의 장에게 신고하는 것을 말합니다. 가족관계등록 창설신고는 가정법원에 가족관계등록 창설허가 신청을 해서 허가를 받은 사람이 해야 합니다. 가족관계등록 창설허가의 재판을 얻은 사람이 등록창설의 신고를 하지 않는 경우에는 배우자 또는 직계혈족이 할 수 있습니다. 가족관계등록 창설신고는 가정법원의 허가를 받고 허가서의 등본을 받은 날부터 1개월 이내에 해야 합니다. 가족관계등록 창설에 관해 확정판결을 받은 경우에는 판결확정일로부터 1개월 이내에 가족관계등록 창설신고를 해야 합니다. 신고의무자가 정당한 사유 없이 가족관계등록 창설신고를 기간 내에 하지 않은 경우에는 5만원 이하의 과태료가 부과됩니다. 가족관계등록 창설신고는 가족관계등록 창설허가를 받은 사람이 등록하려는 등록기준지 또는 신고인의 주소지나 현재지에서 할 수 있는데, 신고인의 관할 시·읍·면의 사무소에 하면 됩니다. 다만, 외국에 거주하거나 체류하는 대한민국 국민의 경우 재외국민 가족관계등록사무소에서도 할 수 있습니다. 가족관계등록 창설신고는 가족관계등록 창설신고서에 다음 사항을 기재해야 합니다. 그 밖에 가족관계등록 창설신고에 대한 더 자세한 내용은 정부24 ㅡ 가족관계등록 창설신고 에서 확인할 수 있습니다."
가족친화기업,중소기업의 가족친화인증 심사비용은 얼마인가요?,무료,"가족친화인증에 관한 심사는 인증신청 기업 또는 공공기관의 현장 실사업무와 인증기준에 따른 서면 평가로 진행됩니다. 신규 인증신청, 유효기간 연장 및 재인증 신청의 심사 일수는 다음과 같습니다. 인증을 받은 기업이 유효기간이 끝나기 전에 인증을 다시 신청하는 때에는 유효기간 연장 및 재인증의 심사 일수와 같습니다. 가족친화인증 심사 여성가족부장관은 기업 또는 공공기관의 인증에 관한 전문성이 있는 기관을 가족친화 인증기관으로 지정하여 인증에 관한 업무를 수행하게 할 수 있습니다. 가족친화인증 심사에 대한 자세한 내용은 한국경영인증원에서 확인할 수 있습니다. 가족친화인증을 신청하는 자는 가족친화에 대한 심사·평가에 사용되는 비용을 부담할 수 있습니다. 심사·평가에 사용되는 비용은 인증심사인력 1인당 1일 인건비 등 소요경비에 인증심사에 소요되는 일수를 곱한 금액으로 합니다. 다만, 인증신청의 활성화를 위하여 다음의 경우 부담이 감면될 수 있습니다. 가족친화인증 심사비용은 얼마인가요? 중소기업은 신규인증과 유효기간 연장, 재인증 심사비가 모두 무료입니다.대기업과 공공기관은 신규인증은 100만원, 유효기간 연장과 재인증은 50만원의 비용이 소요됩니다. 인증심사단가, 인증심사일수, 감면대상 및 감면비율 등에 대한 자세한 내용은 가족친화기업 등 인증심사단가 등에 관한 규정에서 확인할 수 있습니다."
가족친화기업,가족친화기업이란 무엇인가요?,여성가족부장관이 가족친화 사회환경의 조성을 촉진하기 위해 가족친화제도를 모범적으로 운영하고 있는 기업 또는 공공기관에 대해 가족친화인증을 한 기업,"여성가족부장관이 가족친화 사회환경의 조성을 촉진하기 위해 가족친화제도를 모범적으로 운영하고 있는 기업 또는 공공기관에 대해 가족친화인증을 한 기업을 가족친화기업이라고 합니다. “가족친화제도”란 다음의 제도를 말합니다. 가족친화인증을 받으면 어떤 혜택이 있나요? 인증받은 기업·공공기관은 그 제품이나 제품의 포장·용기 및 홍보물에 인증 표시를 할 수 있으며, 출입국우대카드 발급, 중앙정부 및 지방자치단체의 심사 시 가점, 금리 우대 등의 인센티브가 주어집니다. 인증 혜택에 대한 자세한 내용은 이 콘텐츠의 가족친화기업 지원에서 확인할 수 있습니다."
가처분 신청,가처분을 신청하려는 자는 당사자 1명당 몇회의 송달료를 미리 납부해야 하나요?,3회분,"다툼의 대상에 대한 가처분을 신청하려는 자는 당사자 1명당 3회분의 송달료를 미리 납부해야 합니다. 임시의 지위를 구하는 가처분을 신청하려는 자는 당사자 1명당 8회분의 송달료를 미리 납부해야 합니다. 송달이란 소송의 당사자 및 그 밖의 소송관계인에게 소장·상소장·판결정본 등 소송서류의 내용을 알 수 있는 기회를 주기 위해 법에서 정한 방식에 좇아 하는 통지행위를 말합니다. 송달은 송달을 받은 자에게 서류의 내용을 확실하게 알리고 그와 더불어 이를 보관함으로써 그 내용을 둘러싼 분쟁을 미연에 방지하는 것을 목적으로 합니다. 가처분의 신청, 가처분의 신청을 기각 또는 각하한 결정에 대한 즉시항고, 가처분에 대한 이의신청, 가처분의 취소신청, 이의신청 및 취소신청에 대한 즉시항고에 대한 결정은 당사자에게 송달해야 합니다. 가처분을 신청하려는 자는 송달료를 예납해야 합니다. 법령용어해설 송달료란 법원에서 소송 관련 서류를 송달하는데 들어가는 일종의 우편요금입니다. ◎ 다툼의 대상에 대한 가처분을 신청하려는 자는 당사자 1명당 3회분의 송달료를 예납해야 합니다.◎ 임시의 지위를 구하는 가처분을 신청하려는 경우 해당 가처분은 민사집행법 제304조에 따라 심문기일이 필요적으로 열리기 때문에 당사자 1명당 8회분의 송달료를 예납해야 합니다. 송달료를 납부한 채권자는 송달료 납부서 1통을 가처분 신청서에 첨부하여 관할법원에 제출해야 합니다. “송달료납부대행기관”이란 정보통신망을 이용하여 신용카드 등에 의한 결제를 수행하는 기관으로서 송달료납부대행기관으로 지정받은 기관을 말합니다. 송달료를 추가 납부하려는 자는 수납은행에 비치되어 있는 송달료납부서에 법원의 사건번호를 기재후 수납은행에 현금을 납부해야 합니다."
가처분 신청,부동산점유이전금지가처분 신청서에 어떤 내용을 적어야 하나요?,"목적물 가액ㆍ피보전권리 및 목적 부동산, 신청취지, 신청이유 등","부동산점유이전금지가처분이란 부동산에 대한 인도ㆍ명도청구권을 보전하기 위한 가처분으로 목적물의 인적ㆍ물적 현상을 본집행 시까지 그대로 유지하게 하는 가처분을 말하고, 이를 신청하려는 자는 목적물 가액ㆍ피보전권리 및 목적 부동산, 신청취지, 신청이유 등을 적은 신청서를 작성하여 관할법원에 제출해야 합니다. 부동산점유이전금지가처분을 신청하려는 자는 10,000원의 인지대, 당사자 1명당 3회분의 송달료를 납부해야 합니다. 부동산점유이전금지가처분이란 부동산에 대한 인도·명도청구권을 보전하기 위한 가처분으로 목적물의 인적·물적 현상을 본집행 시까지 그대로 유지하게 하는 가처분을 말합니다. 예: 명도소송을 할 예정이니 위장 세입자나 다른 사람에게 해당 부동산을 넘기지 말고 채권자에게 부동산을 넘기라는 것입니다. 임대차계약의 해지에 따른 건물명도청구권, 낙찰허가결정에 의한 건물명도청구권, 소유권에 의한 명도청구권 등 채무자에게 대항할 수 있는 한 물권이든 채권이든 상관없이 피보전권리가 될 수 있습니다. 부동산점유이전금지가처분은 목적물의 본 집행까지 채무자가 목적물의 현재의 상태를 그대로 유지하고 점유명의를 변경하거나 점유를 이전할 우려가 있어 이를 미리 가처분을 해 두지 않으면 현재의 상태의 변경으로 집행권원을 얻더라도 실행하지 못하거나 이를 실행하는 것이 매우 곤란한 염려가 있는 경우에 인정됩니다. A는 B를 상대로 건물명도 등 청구의 본안 소송을 제기하기에 앞서 채무자가 점유하고 있는 아파트를 타인에게 전대 또는 그 밖의 방법으로 점유 이전시키지 못하도록 하는 부동산점유이전금지가처분을 신청할 수 있습니다."
감염병 예방 및 관리,감염병 예시를 들어줘,"제1급감염병, 제2급감염병, 제3급감염병, 제4급감염병, 제5급감염병, 기생충감염병, 세계보건기구 감시대상 감염병, 생물테러감염병, 성매개감염병, 인수공통감염병 및 의료관련감염병","감염병이란 제1급감염병, 제2급감염병, 제3급감염병, 제4급감염병,지정감염병, 세계보건기구 감시대상 감염병, 생물테러감염병, 성매개감염병, 인수공통감염병 및 의료관련감염병을 말합니다. 결핵, 수족구병, 인플루엔자, 장티푸스, 홍역 및 황열 등의 감염병은 초기증상을 확인하고 조기에 치료 받을 수 있습니다. 감염병이란 제1급감염병, 제2급감염병, 제3급감염병, 제4급감염병, 제5급감염병, 기생충감염병, 세계보건기구 감시대상 감염병, 생물테러감염병, 성매개감염병, 인수공통감염병 및 의료관련감염병을 말합니다. 장티푸스 ·잠복기간은 보통 1~3주이나, 균의 수에 따라서 다릅니다. 발열, 두통, 권태감, 식욕부진, 상대적 서맥, 비종대, 장미진, 건성 기침 등이 주요한 증상 및 징후입니다. 발열은 서서히 상승하여 지속적인 발열이 되었다가 이장열이 되어 해열되는 특징적인 열 형태를 갖습니다. 치료하지 않을 경우 병의 경과는 3˜4주 정도입니다. ·일반적으로 설사보다 변비가 많습니다. 백혈구, 특히 호산구의 감소가 특징적이고 경증이 흔하나 중증의 비전형적 증상도 일어납니다."
감염병 예방 및 관리,국가에서 시행되고 있는 감염병 예방접종은 어떤 것이 있나요?,"예방접종은 필수 예방접종과 임시 예방접종, 기타 예방접종이 있습니다.","예방접종은 국가가 권장하는 예방접종인 정기 예방접종, 특별자치도지사 또는 시장·군수·구청장이 감염병 예방을 위해 예방접종이 필요하다고 인정하는 경우 실시하는 임시 예방접종과 국가지원 대상 외에 의료기관에서 받을 수 있는 기타 예방접종으로 구분 됩니다. 어린이 국가예방접종 및 B형간염 주산기감염 등을 무료로 접종·검사 받을 수 있습니다. 예방접종에 따른 이상반응을 확인하고 이상반응자 범위에 해당되면 신고해야 합니다. 예방접종에 따라 질병에 걸리거나 장애인이 되거나 사망하였을 때에는 기준과 절차에 따라 보상을 받을 수 있습니다. 예방접종은 필수예방접종과 임시예방 접종, 기타 예방접종으로 분류됩니다. B형간염 모든 영유아 생후 0, 1, 6개월에 3회 기초접종양성인 경우에는 면역글로블린과 B형간염 1차접종을 생후 12시간 이내 각각 다른 부위에 접종해야 합니다. 디프테리아 모든 영유아 -생후 2, 4, 6개월에 3회 기초접종 -생후 15~18개월과 만 4~6세 때 각각 1회 추가접종 -만 11~12세 때 Tdap 또는 Td 백신으로 1회 접종  총 3회의 기초접종과 만 4~6세 추가접종은 DTap-IPV 콤보백신으로 접종이 가능합니다.  DTaP 단독 또는 DTaP-IPV 콤보백신으로 기초접종 시에는 동일 제조사의 백신으로 접종할 것을 권장합니다. 파상풍 모든 영유아 -생후 2, 4, 6개월에 3회 기초접종 -생후 15~18개월과 만 4~6세 때 각각 1회 추가접종 -만 11~12세 때 Tdap 또는 Td 백신으로 1회 접종  총 3회의 기초접종과 만 4~6세 추가접종은 DTap-IPV 콤보백신으로 접종이 가능합니다.  DTaP 단독 또는 DTaP-IPV 콤보백신으로 기초접종 시에는 동일 제조사의 백신으로 접종할 것을 권장합니다. "
개인정보보호,개인정보 보호법에서 보호하는 “개인정보”에는 어떤 것들이 있나요?,"신분관계, 내면의 비밀, 심신의 상태, 사회경력, 경제관계 등","“개인정보”란 살아 있는 개인에 관한 정보로서 다음의 어느 하나에 해당하는 정보를 말합니다. 개인정보의 구체적인 예는 신분관계, 내면의 비밀, 심신의 상태, 사회경력, 경제관계 등이 있습니다. 가명처리란 개인정보의 일부를 삭제하거나 일부 또는 전부를 대체하는 등의 방법으로 추가 정보가 없이는 특정 개인을 알아볼 수 없도록 처리하는 것을 말합니다. 개인정보의 유형은 일반적으로 다음과 같이 분류할 수 있습니다. 판례는 개인정보는 개인의 신체, 신념, 사회적 지위, 신분 등과 같이 인격주체성을 특징짓는 사항으로서 개인의 동일성을 식별할 수 있게 하는 일체의 정보를 의미하며, 반드시 개인의 내밀한 영역에 속하는 정보에 국한되지 않고 공적생활에서 형성되었거나 이미 공개된 개인정보까지도 포함한다고 보고 있습니다. “정보주체”란 처리되는 정보에 의하여 알아볼 수 있는 사람으로서 그 정보의 주체가 되는 사람을 말합니다. “개인정보처리자”란 업무를 목적으로 개인정보파일을 운용하기 위하여 스스로 또는 다른 사람을 통하여 개인정보를 처리하는 공공기관, 법인, 단체 및 개인 등을 말합니다. 개인정보처리자는 개인정보의 처리 목적을 명확하게 해야 하고 그 목적에 필요한 범위에서 최소한의 개인정보만을 적법하고 정당하게 수집해야 합니다. "
